Data,BG000,GM000,GM001,PN000,PS001,PS000,BD000,BD002,BD003,BD005,BD007,BD009,BD010,JT000,PP010,GV001,GV002,VD000,LB000,LB001,LB003,IP003,IP010,IP006,AR000,PD000,CP100,CP004,CP005,CP008,LM002,VR000,UR000,BT000,BT001,FL000,FL004
2006-05-04,50,130,,23,30,23,30,23,23,23,23,23,230,,30,23,,23,230,,80,50,300,80,50,130,30,50,30,30,30,30,160000,1600000,,,800
2006-05-11,800,50,,30,23,23,23,30,23,23,23,50,300,,80,800,,80,23,,50,50,30,30,30,30,30,23,23,23,23,23,7000,1600000,,,50000
2006-05-18,230,23,,50,23,23,23,50,30,50,130,1600,30000,,50,800,,130,230,,300,30,80,30,30,23,23,23,23,23,30,23,2300,1600000,,,300
2006-05-25,500,30,,130,1300,300,30,23,23,23,50,16000,90000,,230,2400,,300,2400,,2400,16000,500,800,300,300,300,230,230,50,130,2400,90000,80000,,,3000
2006-06-02,50,110,,23,110,110,80,23,23,23,50,23,23,,30,23,,170,300,,50,80,50,50,50,30,300,50,80,80,230,50,300,500000,,,300
2006-06-08,80,23,,23,23,23,23,23,23,23,23,5000,17000,,130,5000,,23,80,,300,30,80,30,23,30,30,30,50,30,500,300,24000,1600000,,,1700
2006-06-12,3000,900,,50,23,23,50,23,23,23,23,30,30000,,1300,2400,,3000,2400,,9000,3000,1300,1300,220,30,2400,500,3000,300,3000,300,1700,900000,,,2400
2006-06-21,110,50,,30,50,70,50,80,80,230,300,5000,50000,,3000,5000,,80,300,,80,50,80,23,23,30,80,23,23,23,23,23,1700,900000,,,500
2006-06-29,1700,23,,30,23,30,23,23,30,23,23,170,500,,500,2400,,300,5000,,5000,800,500,500,5000,300,500,1300,500,300,500,80,13000,240000,,,1300
2006-07-06,80,800,,23,23,23,23,23,23,23,23,23,50000,,50,110,,50,800,,300,500,500,170,170,30,50,30,30,30,80,80,3000,240000,,,800
2006-07-13,230,23,,23,23,23,23,23,23,23,23,500,80,,80,170,,30,23,,50,80,50,80,30,130,80,50,23,500,80,30,300,1600000,,,9000
2006-07-20,500,23,,23,130,170,23,23,23,23,23,800,13000,,220,230,,30,170,,130,30,23,23,30,23,23,23,23,23,23,23,800,300000,,,2300
2006-07-27,800,30,,23,23,30,23,23,23,23,220,23,50,,230,230,,80,500,,300,500,300,500,800,800,1100,23,230,80,30,80,5000,90000,,,1300
2006-08-03,500,23,,23,110,50,23,23,23,23,23,5000,50000,,30,800,,2400,1300,,2400,3000,1700,1100,2400,1300,110,300,170,230,130,23,8000,23000,,,2300
2006-08-10,130,23,,23,23,23,23,23,30,30,23,170,130,,110,130,,30,110,,23,30,130,70,23,30,30,110,30,30,23,50,5000,1600000,,,800
2006-08-17,500,23,,23,230,50,30,23,23,30,23,23,500,,80,500,,230,800,,300,230,1300,50,50,30,800,300,230,30,80,50,160000,240000,,,3000
2006-08-23,230,23,,23,30,30,23,23,23,23,130,1400,3000,,30,800,,80,1400,,300,23,30,23,23,30,30,30,30,80,110,50,1300,500000,,,24000
2006-08-31,230,23,,23,23,30,30,23,23,80,130,5000,30000,,800,3000,,300,230,,130,300,300,230,300,300,50,230,50,30,500,110,50000,1600000,,,5000
2006-09-04,5000,23,,23,500,500,130,23,23,23,23,23,30000,,700,2400,,5000,16000,,5000,3000,3000,3000,3000,300,9000,3000,1700,2400,5000,800,30000,500000,,,24000
2006-09-14,230,23,,23,23,50,50,23,23,23,23,30,170,,500,800,,50,130,,230,300,80,80,300,50,500,23,23,80,230,230,500,500000,,,230
2006-09-21,130,30,,30,170,800,30,23,23,30,30,500,8000,,23,2400,,80,130,,170,230,1300,2400,50,50,23,23,23,30,23,80,5000,300000,,,7000
2006-09-28,800,50,,50,23,23,23,23,23,170,130,23,130,,300,500,,50,50,,300,30,50,30,23,23,30,30,23,23,23,30,17000,1600000,,,1300
2006-10-05,500,23,,80,23,23,30,23,23,30,50,30,5000,,80,80,,30,220,,80,500,220,130,220,500,300,800,300,50,50,50,800,900000,,,1300
2006-10-09,1100,50,,23,300,1300,30,30,30,23,23,23,130,,30,3000,,230,1700,,500,230,300,300,220,800,130,80,50,50,110,130,3000,300,,,3000
2006-10-19,5000,23,,23,30,23,130,300,23,23,50,16000,17000,,16000,16000,,230,50,,30,130,80,80,50,80,500,23,23,23,50,800,800,500000,,,3000
2006-10-26,30,23,,30,23,50,23,30,23,30,170,110,80,,50,130,,80,50,,23,23,23,23,30,30,130,30,23,23,80,23,50,1600000,,,110
2006-10-30,300,23,,23,23,23,23,23,23,23,23,1100,5000,,800,2400,,800,500,,300,1300,500,500,500,130,30,23,23,3000,23,50,24000,900000,,,300
2006-11-09,16000,2400,,130,130,50,130,23,23,23,30,300,1300,,500,130,,800,80,,230,130,80,80,230,80,5000,800,230,80,130,230,50000,80000,,,5000
2006-11-16,1100,130,,230,230,130,230,500,800,500,800,16000,90000,,1300,3000,,70,80,,50,50,110,80,30,23,30,23,30,30,23,50,500,1600000,,,2300
2006-11-23,80,23,,23,23,30,23,30,23,300,130,1300,2300,,5000,2400,,230,80,,800,23,50,130,300,230,23,230,23,230,300,130,24000,500000,,,50000
2006-11-30,110,30,,23,230,300,30,23,23,23,23,300,8000,,3000,16000,,50,5000,,1700,1300,23,23,80,30,130,23,130,50,80,170,13000,500000,,,13000
2006-12-04,1300,23,,23,23,30,50,170,300,230,300,110,9000,,5000,800,,30,80,,80,30,23,30,23,23,500,30,30,23,23,30,300,1600000,,,800
2006-12-07,500,23,,30,50,30,23,23,23,23,23,500,130,,500,16000,,800,800,,1300,300,300,230,130,300,300,500,130,300,300,500,50000,900000,,,8000
